brokertitle,type,price,beds,bath,propertysqft,formatted_address,latitude,longitude,log_price,price_segment,eda_type_clean,log_beds,beds_sqrt,beds_asinh,beds_binned,log_bath,bath_binned,area_missing,log_area,zip,borough,borough_Manhattan,borough_Brooklyn,borough_Queens,price_per_sqft,log_pps
Brokered by E Realty International Corp,Condo for sale,409000,1,1,559.0,"13218 Avery Ave #3d, Flushing, NY 11355, USA",40.7523131,-73.8324302,12.921470435024938,entry,Condo for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,0,6.327936783729195,11355,Queens,False,False,True,731.6636851520573,6.596686776885981
Brokered by United Real Estate Fortune,Condo for sale,630000,2,2,750.0,"142-25 37th Ave #6b, Flushing, NY 11354, USA",40.7627502,-73.8267096,13.353475098367715,entry,Condo for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,0,6.621405651764134,11354,Queens,False,False,True,840.0,6.734591659972948
Brokered by Bedford Brownstone Realty LLC,Condo for sale,874000,2,2,915.0,"139 Grove St #4f, Brooklyn, NY 11221, USA",40.694352,-73.919978,13.680835654637672,entry,Condo for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,0,6.82001636467413,11221,Brooklyn,False,True,False,955.1912568306011,6.862957952488414
Brokered by Brown Harris Stevens - 445 Park Avenue,Condo for sale,4995000,4,4,1495.512345,"30 E 76th St, New York, NY 10021, USA",40.774136,-73.96342,15.423947970064791,upper,Condo for sale,1.6094379124341003,2.0,2.0947125472611012,4,1.6094379124341003,4,1,7.3108925765069745,10021,Manhattan,True,False,False,3339.992489329802,8.114023194323641
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,875000,2,2,1495.512345,"114 E 90th St #1d, New York, NY 10128, USA",40.7821142,-73.9544199,13.681979165339751,entry,Co-op for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,1,7.3108925765069745,10128,Manhattan,True,False,False,585.0837694021175,6.373462730558616
Brokered by Brown Harris Stevens,Co-op for sale,975000,2,2,1495.512345,"255 West End Ave Apt 7a, New York, NY 10023, USA",40.7795544,-73.9848893,13.790192749979985,entry,Co-op for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,1,7.3108925765069745,10023,Manhattan,True,False,False,651.9504859052166,6.481501300835244
Brokered by Douglas Elliman  -111 Fifth Ave,Multi-family home for sale,5975000,12,4,1495.512345,"24 Fiske Pl, Brooklyn, NY 11215, USA",40.6719889,-73.9755419,15.603094655781849,upper,Multi-family home for sale,2.5649493574615367,3.4641016151377544,3.179785437699879,11-20,1.6094379124341003,4,1,7.3108925765069745,11215,Brooklyn,False,True,False,3995.2863110601734,8.293120786616205
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,475000,3,1,1495.512345,"626 W 136th St #4, New York, NY 10031, USA",40.8211783,-73.956073,13.071070083016778,entry,Co-op for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,0.6931471805599453,1,1,7.3108925765069745,10031,Manhattan,True,False,False,317.6169033897209,5.76398945127799
"Brokered by Nest Seekers International, Midtown",Co-op for sale,975000,1,1,1495.512345,"677 West End Ave #13c, New York, NY 10025, USA",40.7933309,-73.9749909,13.790192749979985,entry,Co-op for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,1,7.3108925765069745,10025,Manhattan,True,False,False,651.9504859052166,6.481501300835244
Brokered by Ny Superior Realty,House for sale,1548000,9,4,1495.512345,"104-14 37th Ave, Flushing, NY 11368, USA",40.7534193,-73.8628811,14.25247433313181,mid,House for sale,2.302585092994046,3.0,2.8934439858858716,7-10,1.6094379124341003,4,1,7.3108925765069745,11368,Queens,False,False,True,1035.0967714679746,6.943215827209974
Brokered by Big Team Realty,Co-op for sale,175000,1,1,627.0,"164-20 Highland Ave #9d, Jamaica, NY 11432, USA",40.7101573,-73.7988498,12.072541252905651,entry,Co-op for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,0,6.4425401664681985,11432,Queens,False,False,True,279.10685805422645,5.635171166272741
Brokered by Douglas Elliman - 1995 Broadway,Condo for sale,3000000,1,2,1600.0,"90 Furman St Apt N-810, Brooklyn, NY 11201, USA",40.7015519,-73.995867,14.914122846632385,mid,Condo for sale,0.6931471805599453,1.0,0.881373587019543,1,1.0986122886681098,2,0,7.3783837129967145,11201,Brooklyn,False,True,False,1875.0,7.53689712956617
Brokered by Brown Harris Stevens - 445 Park Avenue,Condo for sale,2400000,1,2,1427.0,"15 W 53rd St #14g, New York, NY 10019, USA",40.7613258,-73.9774014,14.690979295318174,mid,Condo for sale,0.6931471805599453,1.0,0.881373587019543,1,1.0986122886681098,2,0,7.2640301428995295,10019,Manhattan,True,False,False,1681.8500350385425,7.4282440844800375
Brokered by COMPASS,Townhouse for sale,14995000,5,2,6000.0,"184 E 75th St, New York, NY 10021, USA",40.7719074,-73.9601359,16.523227370165248,luxury,Townhouse for sale,1.791759469228055,2.23606797749979,2.312438341272753,5,1.0986122886681098,2,0,8.699681400989514,10021,Manhattan,True,False,False,2499.1666666666665,7.824112675300835
